"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
170/24,"WESTTRADE ALKOHOLE Spółka z ograniczoną odpowiedzialnością",83-207,Kokoszkowy,"ul. Lipowa 14","WOJ. POMORSKIE",2025-05-31
171/24,"VAN PUR Spółka Akcyjna",37-111,Rakszawa,"Rakszawa 334","WOJ. PODKARPACKIE",2025-07-16
172/24,"PISKORSKI Spółka z ograniczoną odpowiedizalnością ",21-200,Parczew,"ul. Kolejowa 207 ","WOJ. LUBELSKIE",2025-06-30
173/24,"Przedsiębiorstwo Voyal Wojciechowski Jacek",58-508,Siedlęcin,"ul. Ogrodowa 27B","WOJ. DOLNOŚLĄSKIE",2025-05-31
174/24,"Polska Grupa Alkoholowa Spółka z ograniczoną odpowiedzialnością",90-135,Łódź,"ul. Prezydenta Gabriela Narutowicza 40/1","WOJ. ŁÓDZKIE",2025-06-23
175/24,"PRIME BRANDS  Spółka z ograniczoną odpowiedzialnością",70-784,Szczecin,"ul. Andrzeja Struga 61 ","WOJ. ZACHODNIOPOMORSKIE",2025-06-06
176/24,"GRUPA  RADLER  Spółka z ograniczoną odpowiedzialnością",34-300,Żywiec,"ul. Jodłowa 73 ","WOJ. ŚLĄSKIE",2025-06-06
177/24,"""OAZA"" Spółka z ograniczoną odpowiedzialnością",65-775,"Zielona Góra","ul. Zacisze 18C","WOJ. LUBUSKIE",2025-06-24
178/24,"Pomerania Dystrybucja A.Piątek Spółka Jawna",75-241,Koszalin,"ul. Grunwaldzka 1A","WOJ. ZACHODNIOPOMORSKIE",2025-06-09
179/24,"Monolith Service Spółka z ograniczoną odpowiedzialnością",01-162,Warszawa,"ul. Św. Stanisława 1/268","WOJ. MAZOWIECKIE",2025-06-02
